,자치구,행정동,면적,개소,주차면수,거주인구,대중교통이용,사업체수,종사자수,총생활인구수,단독주택,아파트,연립주택,다세대주택,비거주용건물내주택,상주인구,유출인구,유입인구,도소매,숙박 및 음식점,서비스업
153,도봉구,창4동,0.95,98,10805,26121,10970.011415525114,1861,7981,27958.96819375,661,10045,48,38,66,131448.28,1185027.49,1185956.68,487,214,319
154,도봉구,창5동,0.7,458,11136,24343,29562.954337899544,2547,7316,20822.353805505954,146,6948,112,1428,47,81988.63,830571.33,829056.67,511,292,363
155,도봉구,도봉1동,8.72,1351,7935,20622,9905.970319634704,2147,6178,19078.40001398809,1140,1107,659,3922,136,154200.01,915484.48,916175.73,545,373,206
156,도봉구,도봉2동,0.83,373,10466,26359,21793.9497716895,2035,7780,19040.98146333111,495,8553,45,415,34,51320.36,625303.13,624384.1,465,197,236
157,노원구,월계1동,1.16,577,9316,21580,12266.575342465754,1921,6647,22379.040943005955,638,4503,239,2124,64,165759.32,913151.27,911874.99,452,337,293
158,노원구,월계2동,1.94,157,9180,26066,11275.141552511415,1436,3961,19183.902406250003,131,10866,173,294,13,63831.34,631982.15,630945.67,330,99,175
159,노원구,월계3동,1.17,56,10996,29384,11238.130136986301,1536,4525,24448.78746879529,45,12617,200,16,10,90557.46,936421.13,934317.89,424,116,222
160,노원구,공릉2동,6.82,634,18724,42538,22130.979452054795,2754,13078,44867.17658958334,538,10880,325,1122,58,312222.77999999997,1482081.5,1475521.04,623,404,452
161,노원구,하계1동,1.55,302,10360,26982,10015.452054794521,1615,8965,24530.223308482142,152,9283,440,560,31,150319.76,1258873.92,1257652.0,501,194,236
162,노원구,하계2동,0.51,15,5520,21642,21379.844748858446,778,1687,18115.21901886851,661,8160,200,1571,66,23315.5,443204.89,442017.3,208,37,120
163,노원구,중계본동,1.97,286,9135,23477,7442.817351598173,1724,5840,21062.971196706585,767,6158,192,933,38,101215.94,685873.78,686428.91,378,184,514
164,노원구,중계1동,0.63,69,9864,26580,5626.536529680366,1470,4522,25392.034273065477,661,8733,200,1571,6,39350.75,650237.65,649851.1,352,141,448
165,노원구,중계4동,1.7,155,6500,19601,6257.821917808219,1410,4285,16162.386440832975,95,7317,25,230,39,62620.78,619251.78,618472.79,328,237,271
166,노원구,상계1동,5.62,628,14425,37857,18668.924657534248,3934,11608,36604.6469376488,326,10902,418,1686,78,202575.51,1157286.7,1156161.16,795,372,448
167,노원구,상계2동,0.61,432,8349,19629,45811.89269406393,3325,11074,30096.564929315475,674,3908,200,1181,79,249394.05,1771835.97,1775812.83,1107,726,462
168,노원구,상계5동,1.01,642,4947,23737,21685.301369863013,2755,6516,18538.381027083335,1044,4133,202,1873,95,65968.8,605879.38,605158.96,618,292,348
