,행정동명,요일,도착시간,이동인구(합)
548,염창동,주말,20,4056.1899999999996
549,염창동,주말,21,3509.8049999999994
550,염창동,주말,22,2923.7599999999998
551,염창동,주말,23,1669.0600000000004
552,염창동,평일,0,1053.8440000000003
553,염창동,평일,1,529.864
554,염창동,평일,2,247.40599999999995
555,염창동,평일,3,168.14199999999988
556,염창동,평일,4,137.75999999999993
557,염창동,평일,5,186.10199999999986
558,염창동,평일,6,-272.60199999999986
559,염창동,평일,7,-2719.3399999999992
560,염창동,평일,8,-1958.579999999998
561,염창동,평일,9,-2168.1399999999994
562,염창동,평일,10,-1669.7819999999992
563,염창동,평일,11,-174.34999999999854
564,염창동,평일,12,1126.2579999999998
565,염창동,평일,13,1611.554000000002
566,염창동,평일,14,2043.1179999999986
567,염창동,평일,15,2672.0599999999995
568,염창동,평일,16,3248.9039999999995
569,염창동,평일,17,2921.75
570,염창동,평일,18,2555.6079999999984
571,염창동,평일,19,3556.9580000000005
572,염창동,평일,20,3807.7120000000004
573,염창동,평일,21,3576.9659999999985
574,염창동,평일,22,3669.431999999999
575,염창동,평일,23,2217.870000000001
576,우장산동,주말,0,572.54
577,우장산동,주말,1,167.8950000000002
578,우장산동,주말,2,105.07500000000005
579,우장산동,주말,3,128.13
580,우장산동,주말,4,-71.67499999999984
581,우장산동,주말,5,-28.9849999999999
582,우장산동,주말,6,-278.53
583,우장산동,주말,7,-337.65499999999975
584,우장산동,주말,8,-191.54500000000007
585,우장산동,주말,9,-27.484999999998763
586,우장산동,주말,10,373.7900000000009
587,우장산동,주말,11,1326.5349999999999
588,우장산동,주말,12,1711.710000000001
589,우장산동,주말,13,936.2850000000017
590,우장산동,주말,14,416.27000000000044
591,우장산동,주말,15,-250.47999999999956
592,우장산동,주말,16,335.9399999999987
593,우장산동,주말,17,1977.6850000000013
594,우장산동,주말,18,1547.6800000000003
595,우장산동,주말,19,982.7699999999986
596,우장산동,주말,20,510.4449999999997
597,우장산동,주말,21,624.5150000000003
598,우장산동,주말,22,244.92999999999938
599,우장산동,주말,23,411.12500000000045
600,우장산동,평일,0,442.2439999999999
601,우장산동,평일,1,189.41800000000012
602,우장산동,평일,2,-12.495999999999981
603,우장산동,평일,3,-29.892000000000053
604,우장산동,평일,4,-5.9640000000000555
605,우장산동,평일,5,-277.01800000000003
606,우장산동,평일,6,-407.7859999999996
607,우장산동,평일,7,-2347.714
608,우장산동,평일,8,-5476.580000000002
609,우장산동,평일,9,-2504.2219999999998
610,우장산동,평일,10,-718.8819999999996
611,우장산동,평일,11,111.67399999999907
612,우장산동,평일,12,100.96199999999953
613,우장산동,평일,13,413.90600000000086
614,우장산동,평일,14,1258.4879999999994
615,우장산동,평일,15,1096.9120000000003
616,우장산동,평일,16,2269.0159999999996
617,우장산동,평일,17,3544.9300000000003
618,우장산동,평일,18,5482.235999999997
619,우장산동,평일,19,4241.487999999999
620,우장산동,평일,20,2231.5919999999987
621,우장산동,평일,21,1230.507999999999
622,우장산동,평일,22,811.101999999999
623,우장산동,평일,23,546.3459999999986
624,화곡1동,주말,0,3319.2849999999994
625,화곡1동,주말,1,2155.0199999999995
626,화곡1동,주말,2,1436.7150000000001
627,화곡1동,주말,3,1021.2249999999999
628,화곡1동,주말,4,356.93499999999995
629,화곡1동,주말,5,-415.4449999999997
630,화곡1동,주말,6,-1589.3400000000001
631,화곡1동,주말,7,-1819.5449999999996
632,화곡1동,주말,8,-2812.6399999999994
633,화곡1동,주말,9,-3778.694999999999
634,화곡1동,주말,10,-3719.5
635,화곡1동,주말,11,-3162.7250000000004
636,화곡1동,주말,12,-2008.9300000000003
637,화곡1동,주말,13,-1110.8200000000015
638,화곡1동,주말,14,366.6900000000005
639,화곡1동,주말,15,1815.4850000000006
640,화곡1동,주말,16,3096.625000000002
641,화곡1동,주말,17,4041.0549999999985
642,화곡1동,주말,18,4898.92
643,화곡1동,주말,19,5784.285000000002
644,화곡1동,주말,20,5983.3550000000005
645,화곡1동,주말,21,6214.195000000001
646,화곡1동,주말,22,4981.955
647,화곡1동,주말,23,3421.250000000001
648,화곡1동,평일,0,2321.8360000000002
649,화곡1동,평일,1,1299.8060000000003
650,화곡1동,평일,2,890.7080000000001
651,화곡1동,평일,3,511.76199999999994
652,화곡1동,평일,4,-103.43199999999979
653,화곡1동,평일,5,-1513.4560000000001
654,화곡1동,평일,6,-3733.1539999999995
655,화곡1동,평일,7,-6350.474
656,화곡1동,평일,8,-15795.833999999999
657,화곡1동,평일,9,-10528.318000000001
658,화곡1동,평일,10,-3233.427999999998
659,화곡1동,평일,11,-1369.58
660,화곡1동,평일,12,-772.6599999999999
661,화곡1동,평일,13,216.92799999999988
662,화곡1동,평일,14,2389.978000000001
663,화곡1동,평일,15,3637.7559999999976
664,화곡1동,평일,16,5160.946
665,화곡1동,평일,17,6291.658000000001
666,화곡1동,평일,18,9347.496
667,화곡1동,평일,19,10858.527999999998
668,화곡1동,평일,20,8098.862000000003
669,화곡1동,평일,21,7698.8060000000005
670,화곡1동,평일,22,7242.444000000001
671,화곡1동,평일,23,4599.994000000001
672,화곡2동,주말,0,853.1600000000001
673,화곡2동,주말,1,625.8000000000001
674,화곡2동,주말,2,398.2850000000001
675,화곡2동,주말,3,359.5400000000001
676,화곡2동,주말,4,75.93000000000006
677,화곡2동,주말,5,-159.66499999999996
678,화곡2동,주말,6,-186.7449999999999
679,화곡2동,주말,7,-525.095
680,화곡2동,주말,8,-1185.6749999999997
681,화곡2동,주말,9,-1439.245
682,화곡2동,주말,10,-1612.4
683,화곡2동,주말,11,-1245.0
684,화곡2동,주말,12,-977.5999999999995
685,화곡2동,주말,13,-764.1100000000001
686,화곡2동,주말,14,-210.66500000000042
687,화곡2동,주말,15,114.39999999999964
