"동별(1)",동별(2),동별(3),2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2022. 12,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 01,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02,2023. 02
"동별(1)",동별(2),동별(3),합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인,합계 (명),합계 (명),합계 (명),한국인,한국인,외국인,외국인
"동별(1)",동별(2),동별(3),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",강북구,번3동,16449,7677,8772,7662,8721,15,51,16423,7664,8759,7650,8708,14,51,16363,7627,8736,7613,8687,14,49
"합계",강북구,수유1동,20501,10041,10460,9955,10310,86,150,20495,10033,10462,9945,10306,88,156,20509,10039,10470,9948,10303,91,167
"합계",강북구,수유2동,21054,9985,11069,9939,10969,46,100,21038,9985,11053,9938,10951,47,102,21017,9968,11049,9923,10940,45,109
"합계",강북구,수유3동,23778,11614,12164,11341,11629,273,535,23745,11621,12124,11344,11596,277,528,23834,11637,12197,11364,11653,273,544
"합계",강북구,삼양동,23090,11486,11604,11422,11488,64,116,23057,11466,11591,11399,11470,67,121,23036,11452,11584,11388,11460,64,124
"합계",강북구,미아동,21685,10360,11325,10155,10981,205,344,21662,10337,11325,10138,10971,199,354,21719,10347,11372,10145,11010,202,362
"합계",강북구,송중동,29910,14335,15575,14084,15220,251,355,29872,14329,15543,14077,15186,252,357,29836,14327,15509,14070,15145,257,364
"합계",강북구,송천동,25998,12830,13168,12659,12925,171,243,25952,12814,13138,12645,12894,169,244,25932,12791,13141,12623,12898,168,243
"합계",강북구,삼각산동,30939,14826,16113,14780,16050,46,63,30920,14821,16099,14773,16036,48,63,30866,14793,16073,14745,16011,48,62
"합계",강북구,우이동,20407,9809,10598,9753,10491,56,107,20349,9768,10581,9712,10473,56,108,20357,9758,10599,9702,10493,56,106
"합계",강북구,인수동,29916,14389,15527,14320,15381,69,146,29898,14376,15522,14307,15377,69,145,29855,14343,15512,14275,15368,68,144
"합계",도봉구,쌍문1동,21445,10155,11290,10081,10934,74,356,21375,10126,11249,10054,10901,72,348,21360,10123,11237,10053,10915,70,322
"합계",도봉구,쌍문2동,18461,8798,9663,8732,9592,66,71,18461,8798,9663,8728,9590,70,73,18401,8769,9632,8700,9559,69,73
"합계",도봉구,쌍문3동,16934,8127,8807,8070,8704,57,103,16914,8110,8804,8054,8700,56,104,16913,8114,8799,8058,8699,56,100
"합계",도봉구,쌍문4동,18348,8654,9694,8648,9659,6,35,18347,8653,9694,8647,9658,6,36,18355,8662,9693,8656,9652,6,41
"합계",도봉구,방학1동,28410,14078,14332,13992,14180,86,152,28388,14057,14331,13968,14175,89,156,28360,14036,14324,13945,14174,91,150
"합계",도봉구,방학2동,19354,9755,9599,9668,9484,87,115,19291,9730,9561,9646,9451,84,110,19226,9699,9527,9614,9418,85,109
